Sample_ID	DRAM	Metacerberus
983	18.099744	0.26164
984	18.031224	0.257764
985	18.065132	0.259644
986	18.190972	0.215944
987	18.114204	0.25722
988	18.117376	0.261592
989	18.097552	0.261752
990	18.123296	0.258008
991	18.157736	0.261352
992	18.145364	0.260092
993	18.122364	0.25816
994	18.137652	0.25964
995	18.118048	0.257628
996	18.106828	0.258892
997	18.131576	0.255288
998	18.070372	0.260624
999	18.033516	0.25514
1000	18.107364	0.264312
1001	18.072284	0.255876
1002	18.168076	0.217004
1003	18.113144	0.256668
1004	18.073004	0.261804
1005	18.135616	0.214964
1006	18.146992	0.217264
1007	18.162036	0.217764
1008	18.128596	0.258832
1009	18.13578	0.263484
1010	18.139544	0.257816
1011	18.121616	0.260844
1012	18.126208	0.260196
1013	18.115824	0.256
1014	18.102572	0.253252
1015	18.099636	0.255336
1016	18.122524	0.262972
1017	18.206848	0.217044
1018	18.10926	0.252456
1019	18.055864	0.25658
1020	18.117844	0.253684
1021	18.016252	0.25534
1022	18.041912	0.259644
1023	18.126304	0.215572
1024	18.046328	0.255836
1025	18.170988	0.216932
1026	18.19056	0.26
1027	18.116128	0.256192
1028	18.097516	0.254424
1029	18.129788	0.25474
1030	18.142568	0.262984
1031	18.155564	0.260684
1032	18.166384	0.21712
1033	18.134724	0.2207
1034	18.108644	0.257912
1035	18.135996	0.2556
1036	18.145668	0.216716
1037	18.122132	0.253164
1038	18.125236	0.26042
1039	18.142532	0.262776
1040	18.156492	0.258596
1041	18.09402	0.26052
1042	18.159484	0.215932
1043	18.157364	0.262828
1044	18.138044	0.258376
1045	18.117016	0.256796
1046	18.076216	0.257012
1047	18.157732	0.259028
1048	18.138568	0.258572
1049	18.042568	0.257432
1050	18.12228	0.254644
1051	18.13708	0.2577
1052	18.127808	0.25524
1053	18.118148	0.254604
1054	18.065908	0.251652
1055	18.071012	0.252356
1056	18.196176	0.21486
1057	18.183448	0.218084
1058	18.141924	0.217308
1059	18.129016	0.26102
1060	18.114924	0.258692
1061	18.13818	0.259692
1062	18.10454	0.258836
1063	18.13338	0.26048
1064	18.152884	0.2613
1065	18.145564	0.216944
1066	18.177608	0.219344
1067	18.138212	0.259784
1068	18.10834	0.25864
1069	18.119572	0.260292
1070	18.150576	0.257188
1071	18.159204	0.216692
1072	18.065772	0.25718
1073	18.04176	0.256532
1074	18.1303	0.262216
1075	18.160644	0.258432
1076	18.13634	0.218816
1077	18.119076	0.25574
1078	18.117488	0.257316
1079	18.07798	0.252612
1080	18.13724	0.219056
1081	18.14796	0.219228
1082	18.173168	0.259544
1083	18.148764	0.261952
1084	18.123516	0.253648
1085	18.119192	0.259252
1086	18.17208	0.218144
1087	18.077792	0.258732
1088	18.077148	0.261236
1089	18.114948	0.260016
1090	18.16576	0.261792
1091	18.162452	0.2609
1092	18.140068	0.26104
1093	18.138556	0.258216
1094	18.094372	0.254416
1095	18.134364	0.2196
1096	18.152236	0.21672
1097	18.116872	0.253336
1098	18.109096	0.259004
1099	18.131076	0.257996
1100	18.13252	0.216444
1101	18.11898	0.254816
1102	18.136356	0.253584
1103	18.056236	0.261228
1104	18.165252	0.22098
1105	18.12334	0.217104
1106	18.12748	0.22026
1107	18.114284	0.259916
1108	18.105336	0.255284
1109	18.176628	0.258232
1110	18.144132	0.216516
1111	18.147584	0.261864
1112	18.107752	0.253676
1113	18.048868	0.253328
1114	18.08032	0.25386
1115	18.131812	0.255244
1116	18.07816	0.256492
1117	18.147912	0.219408
1118	18.108384	0.258992
1119	18.165568	0.217484
1120	18.148184	0.261672
1121	18.151496	0.259704
1122	18.142072	0.221
1123	18.138932	0.258772
1124	18.11362	0.260864
1125	18.089788	0.259572
1126	18.12968	0.260356
1127	18.127724	0.217284
1128	18.137964	0.254816
1129	18.085172	0.256352
1130	18.079568	0.255944
1131	18.067444	0.256688
1132	18.175484	0.259864
1133	18.167032	0.218512
1134	18.151024	0.217236
1135	18.123652	0.215224
1136	18.12528	0.26254
1137	18.103132	0.258412
1138	18.13302	0.217252
1139	18.0955	0.254672
1140	18.066756	0.257332
1141	18.115068	0.25206
1142	18.125328	0.257012
1143	18.149528	0.261428
1144	18.092876	0.258524
1145	18.113488	0.25712
1146	18.15588	0.214916
1147	18.18852	0.217008
1148	18.17466	0.261984
1149	18.174492	0.25974
1150	18.179388	0.21688
1151	18.185688	0.214712
1152	18.106268	0.253492
1153	18.038512	0.255492
1154	18.083124	0.257376
1155	18.166264	0.269012
1156	18.213552	0.217508
1157	18.104072	0.256528
1158	18.122528	0.260228
1159	18.143588	0.215364
1160	18.154888	0.260452
1161	18.147424	0.220816
1162	18.128924	0.252224
1163	18.12914	0.253148
1164	18.0992	0.258328
1165	18.189016	0.217052
1166	18.171496	0.216764
1167	18.074848	0.258956
1168	18.089096	0.259176
1169	18.05426	0.258712
1170	18.0707	0.26
1171	18.137736	0.262804
1172	18.146608	0.258148
1173	18.151696	0.25596
1174	18.109572	0.259504
1175	18.094608	0.258008
1176	18.13154	0.260216
1177	18.09298	0.255252
1178	18.0859	0.253272
1179	18.122564	0.260792
1180	18.090632	0.253632
1181	18.14162	0.220904
1182	18.138644	0.216192
1183	18.150672	0.255944
1184	18.124404	0.253876
1185	18.130168	0.260336
1186	18.100724	0.255864
1187	18.029952	0.256908
1188	18.10328	0.256108
1189	18.110936	0.26
1190	18.115148	0.216956
1191	18.168224	0.219152
1192	18.136652	0.259736
1193	18.119288	0.260688
1194	18.098056	0.260776
1195	18.10034	0.257784
1196	18.004136	0.256564
1197	18.09794	0.25944
1198	18.139976	0.263996
1199	18.146568	0.260264
1200	18.023256	0.2588
1201	18.156416	0.221128
1202	18.144036	0.218976
1203	18.130112	0.257524
1204	18.130352	0.260628
1205	18.110888	0.261408
1206	18.10542	0.257208
1207	18.099904	0.2577
1208	18.170396	0.258772
1209	18.078708	0.259076
1210	18.095792	0.256696
1211	18.112668	0.25596
1212	18.156796	0.217452
1213	18.160752	0.262724
1214	18.14788	0.259788
1215	18.095384	0.257584
1216	18.108368	0.252016
1217	18.108532	0.259444
1218	18.151048	0.218732
1219	18.16602	0.215056
1220	18.128788	0.218212
1221	18.14974	0.257348
1222	18.166292	0.26114
1223	18.167004	0.193204
1224	18.151964	0.260384
1225	18.118432	0.257628
1226	18.052444	0.257456
1227	18.207684	0.218484
1228	18.131068	0.261328
1229	18.15276	0.220368
1230	18.1307	0.260056
1231	18.085772	0.259304
1232	18.089728	0.252208
1233	18.09902	0.259536
1234	18.156228	0.21816
1235	18.132952	0.219472
1236	18.108604	0.257704
1237	18.107828	0.256868
1238	18.137884	0.259824
1239	18.10972	0.256336
1240	18.106088	0.260444
1241	18.1193	0.259328
1242	18.089256	0.25426
1243	18.107056	0.260736
1244	18.058508	0.255784
1245	18.107816	0.256672
1246	18.096408	0.260628
1247	18.126948	0.253448
1248	18.149284	0.260336
1249	18.118928	0.258328
1250	18.130096	0.260916
1251	18.17202	0.263248
1252	18.151468	0.259288
1253	18.139036	0.257724
1254	18.090304	0.256232
1255	18.084348	0.261352
1256	18.128024	0.259916
1257	18.1458	0.214956
1258	18.0992	0.255956
1259	18.109012	0.258268
1260	18.192924	0.258296
1261	18.100824	0.253592
