ID	GIC31_complete	JQGI01_HUD	RW2_complete	S17	SH31	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217
K01114	0	0	0	0	0	1	1	1	1	1
K01115	0	0	0	0	0	1	1	0	0	0
K01118	1	1	1	1	1	1	1	1	1	1
K01119	1	1	1	1	0	1	1	1	1	1
K01121	0	0	1	0	0	0	0	0	0	0
K01126	1	1	1	1	1	1	1	1	1	1
K01129	0	0	0	0	0	1	1	1	1	1
K01130	0	1	0	0	0	1	1	0	1	1
K01133	0	0	0	0	0	1	1	1	1	1
K01134	0	1	0	0	0	1	1	1	1	1
K01139	1	1	1	1	1	1	1	1	1	1
K01142	0	0	0	0	0	1	1	1	1	1
K01147	0	1	0	0	0	0	0	0	0	0
K01150	0	1	0	0	0	0	0	0	0	0
K01151	1	1	1	1	1	0	0	0	0	0
K01153	1	0	1	0	0	0	1	1	0	0
K01154	0	0	1	0	0	0	1	1	0	0
K01156	0	1	0	0	0	0	0	0	0	0
K01159	0	0	0	0	0	1	1	1	1	1
K01160	0	0	0	0	0	1	0	0	0	1
K01169	0	0	0	0	0	1	1	1	1	1
K01173	0	0	0	0	0	0	0	1	0	0
K01174	1	1	1	1	1	1	1	1	1	1
K01175	1	1	1	1	0	1	1	1	1	1
K01176	1	1	1	1	1	0	0	0	0	0
K01178	0	0	0	0	0	0	0	1	0	1
K01181	0	0	0	0	0	1	1	1	1	1
K01182	1	1	1	1	1	1	1	1	1	1
K01184	0	0	0	0	0	1	1	1	1	1
K01185	0	0	0	0	0	1	1	1	1	1
K01186	0	0	0	0	0	1	1	1	1	1
K01190	0	0	0	0	0	1	1	1	1	1
K01191	0	0	0	0	0	1	1	1	1	1
K01192	0	0	0	0	0	1	1	1	1	1
K01193	1	1	1	1	1	1	1	1	1	1
K01198	0	0	1	0	1	1	1	1	1	1
K01200	1	1	1	1	1	0	0	0	0	0
K01206	0	0	0	0	0	1	1	1	1	1
K01207	1	1	1	1	1	1	1	1	1	1
K01208	1	1	1	1	1	0	1	0	0	0
K01209	0	0	1	0	1	1	1	1	1	1
K01214	0	0	0	0	0	1	1	1	1	1
K01217	0	0	0	0	0	1	1	1	1	1
K01218	0	0	0	0	0	1	1	1	1	1
K01222	1	1	1	1	1	0	0	0	0	0
K01223	1	1	1	1	1	0	0	0	0	0
K01226	1	1	1	1	1	0	0	0	0	0
K01228	0	0	0	0	0	0	1	0	0	0
K01232	1	1	1	0	0	0	0	0	0	0
K01233	0	0	0	0	0	0	0	1	0	0
K01236	0	0	0	0	0	1	1	1	1	1
K01239	0	0	0	0	0	1	1	1	1	1
K01240	0	1	0	0	0	1	1	1	1	1
K01241	0	0	0	0	0	1	1	1	1	1
K01243	1	1	1	1	1	1	1	1	1	1
K01246	1	1	1	1	0	1	1	1	1	1
K01247	1	1	1	0	0	1	1	1	1	1
K01251	0	0	0	0	0	1	1	1	1	1
K01255	1	1	1	1	1	1	1	1	1	1
K01256	0	1	0	0	0	1	1	1	1	1
K01258	1	1	1	1	1	1	1	1	1	1
K01259	0	0	0	0	0	1	1	1	1	1
K01261	1	1	1	1	1	0	0	0	0	0
K01262	0	0	0	0	0	1	1	1	1	1
K01265	1	1	1	1	1	1	1	1	1	1
K01269	1	1	1	1	1	0	0	0	0	0
K01270	0	0	1	0	0	0	0	0	0	0
K01271	1	1	1	1	1	1	1	1	1	1
K01273	0	0	0	0	0	1	1	1	1	1
K01274	1	1	1	1	1	0	0	0	0	0
K01284	0	0	0	0	0	1	1	1	1	1
K01286	1	1	1	1	1	1	1	1	1	1
K01288	0	0	0	0	0	1	1	0	0	0
K01297	1	1	1	0	1	0	0	0	0	0
K01299	1	1	1	1	1	0	0	0	0	0
K01318	0	0	0	0	0	1	0	1	1	0
K01322	0	0	0	0	0	1	1	1	1	1
K01323	0	0	0	0	0	0	0	0	1	1
K01337	0	0	0	0	0	1	0	0	0	0
K01338	1	1	1	1	1	1	1	1	1	1
K01342	0	0	0	0	0	0	1	0	0	0
K01354	0	0	0	0	0	1	1	1	1	1
K01355	0	0	0	0	0	0	0	1	0	0
K01356	1	1	1	1	1	1	1	1	1	1
K01358	1	1	1	1	1	1	1	1	1	1
K01361	1	1	1	1	1	0	0	0	0	0
K01400	1	1	1	1	1	0	0	0	0	0
K01406	0	0	0	0	0	1	1	1	1	1
K01409	1	1	1	1	1	1	1	1	1	1
K01414	0	1	0	0	0	0	0	0	0	0
K01419	1	1	1	1	1	1	1	1	1	1
K01420	0	0	0	0	0	1	1	1	1	1
K01421	1	1	1	1	1	0	0	0	0	0
K01423	0	0	0	0	0	1	1	1	1	1
K01424	1	1	1	1	1	0	0	0	0	0
K01425	1	0	1	0	1	1	1	1	1	1
K01426	1	1	1	1	1	1	1	1	1	1
K01428	0	0	0	0	0	1	1	1	1	1
K01429	0	0	0	0	0	1	1	1	1	1
K01430	0	0	0	0	0	1	1	1	1	1
K01432	0	0	0	0	0	1	1	1	1	0
K01433	0	0	0	0	0	1	1	1	1	1
K01436	1	1	1	1	1	0	0	0	0	0
K01438	0	0	0	0	0	1	1	1	1	1
K01439	0	0	0	0	0	1	1	1	1	1
K01442	1	1	1	1	1	0	1	0	0	0
K01443	1	1	1	1	1	1	1	1	1	1
K01447	0	1	0	0	0	0	0	0	0	0
K01448	1	1	1	1	1	1	1	1	1	1
K01449	0	0	0	0	0	1	1	1	1	1
K01451	0	0	0	0	0	1	1	1	1	1
