ID	count
K03179	1
K03183	1
K03185	1
K03215	1
K03216	1
K03218	1
K03269	1
K03276	1
K03279	1
K03291	1
K03331	1
K03337	1
K03366	1
K03392	1
K03396	1
K03407	1
K03424	1
K03431	1
K03438	1
K03445	1
K03446	1
K03449	1
K03500	1
K03564	1
K03574	1
K03575	1
K03579	1
K03587	1
K03648	1
K03649	1
K03652	1
K03762	1
K03768	1
K03769	1
K03770	1
K03771	1
K03781	1
K03782	1
K03783	1
K03786	1
K03787	1
K03814	1
K03820	1
K03821	1
K03824	1
K03825	1
K03826	1
K03828	1
K03829	1
K03830	1
K03885	1
K03934	1
K03935	1
K03936	1
K03937	1
K03940	1
K03941	1
K03942	1
K03953	1
K03981	1
K04042	1
K04092	1
K04097	1
K04098	1
K04102	1
K04110	1
K04487	1
K04518	1
K04564	1
K04565	1
K04765	1
K05301	1
K05343	1
K05349	1
K05350	1
K05351	1
K05358	1
K05366	1
K05367	1
K05548	1
K05592	1
K05603	1
K05605	1
K05606	1
K05710	1
K05712	1
K05714	1
K05715	1
K05780	1
K05781	1
K05813	1
K05814	1
K05815	1
K05820	1
K05825	1
K05832	1
K05833	1
K05845	1
K05846	1
K05847	1
K05878	1
K05879	1
K05881	1
K05884	1
K05972	1
K05989	1
K06023	1
K06044	1
K06117	1
K06125	1
K06127	1
K06153	1
K06607	1
K06720	1
K06861	1
K06902	1
K06941	1
K06949	1
K06969	1
K07091	1
K07127	1
K07250	1
K07258	1
K07304	1
K07305	1
K07313	1
K07402	1
K07406	1
K07441	1
K07451	1
K07511	1
K07535	1
K07552	1
K07559	1
K07636	1
K07637	1
K07638	1
K07640	1
K07641	1
K07642	1
K07644	1
K07645	1
K07646	1
K07649	1
K07650	1
K07652	1
K07678	1
K07698	1
K07708	1
K07709	1
K07716	1
K07718	1
K08151	1
K08153	1
K08161	1
K08166	1
K08169	1
K08172	1
K08174	1
K08177	1
K08178	1
K08194	1
K08217	1
K08219	1
K08221	1
K08223	1
K08224	1
K08225	1
K08281	1
K08296	1
K08299	1
K08311	1
K08319	1
K08320	1
K08369	1
K08483	1
K08484	1
K08678	1
K08679	1
K08683	1
K08884	1
K09001	1
K09013	1
K09470	1
K09471	1
K09472	1
K09667	1
K09690	1
K09691	1
K09694	1
K09695	1
K09699	1
K09761	1
K09808	1
K09810	1
K09811	1
K09812	1
K09815	1
K09816	1
K09817	1
K09903	1
K09969	1
K09970	1
K09971	1
K09972	1
K09994	1
K10009	1
K10010	1
K10018	1
K10019	1
K10020	1
K10021	1
K10022	1
K10023	1
K10039	1
K10111	1
K10112	1
K10117	1
K10118	1
K10119	1
K10120	1
K10125	1
K10188	1
K10189	1
K10190	1
K10191	1
K10192	1
K10193	1
K10213	1
K10227	1
K10228	1
K10229	1
K10232	1
K10233	1
K10234	1
K10235	1
K10236	1
K10237	1
K10238	1
K10439	1
K10440	1
K10441	1
K10537	1
K10538	1
K10539	1
K10543	1
K10544	1
K10545	1
K10546	1
K10547	1
K10548	1
K10552	1
K10553	1
K10554	1
K10559	1
K10560	1
K10561	1
K10562	1
K10563	1
K10677	1
K10764	1
K10773	1
K10778	1
K10804	1
K10907	1
K11066	1
K11069	1
K11070	1
K11071	1
K11073	1
K11074	1
K11075	1
K11076	1
K11077	1
K11078	1
K11079	1
K11080	1
K11150	1
K11153	1
K11162	1
K11163	1
K11175	1
K11177	1
K11178	1
K11352	1
K11354	1
K11357	1
K11383	1
K11407	1
K11529	1
K11645	1
K11711	1
K11720	1
K11788	1
