ID	DJ	GIC31	RW1	RW2	Rleg
COG0392	1	0	0	0	1
COG0394	1	1	0	1	1
COG0395	1	1	0	1	1
COG0396	0	1	0	1	1
COG0397	1	1	0	1	1
COG0398	0	1	0	1	0
COG0399	1	1	0	1	1
COG0400	1	1	0	1	1
COG0401	1	0	0	0	0
COG0402	1	0	0	0	1
COG0403	1	1	0	1	1
COG0404	1	1	0	1	1
COG0405	1	0	0	0	1
COG0406	1	1	0	1	1
COG0407	1	1	0	1	1
COG0408	1	0	0	0	1
COG0409	1	0	0	0	0
COG0410	1	0	0	0	1
COG0411	1	0	0	0	1
COG0412	1	0	0	0	1
COG0413	1	1	0	1	1
COG0414	1	1	0	1	1
COG0415	1	1	0	1	1
COG0416	1	1	0	1	1
COG0418	1	0	0	0	1
COG0419	1	1	0	1	1
COG0420	1	1	0	1	1
COG0421	1	1	0	1	1
COG0422	1	0	0	0	1
COG0423	0	0	0	0	1
COG0424	1	1	1	1	1
COG0425	1	0	0	0	1
COG0427	1	0	0	0	1
COG0428	1	1	0	1	0
COG0429	1	0	0	0	0
COG0431	1	1	0	1	1
COG0432	1	0	0	0	1
COG0433	0	0	1	0	1
COG0434	0	0	0	0	1
COG0435	0	0	0	0	1
COG0436	1	1	1	1	1
COG0437	1	0	0	1	0
COG0439	1	0	0	0	0
COG0440	1	0	1	0	1
COG0441	1	1	0	1	1
COG0442	1	1	0	1	1
COG0443	1	1	0	1	1
COG0444	1	1	0	1	1
COG0445	1	1	0	1	1
COG0447	0	1	0	1	0
COG0448	0	1	0	1	1
COG0449	1	1	0	1	1
COG0452	1	1	0	1	1
COG0454	0	1	0	1	1
COG0455	1	1	0	1	0
COG0456	1	1	0	1	1
COG0458	1	1	0	1	1
COG0459	1	1	0	1	1
COG0460	1	0	0	0	1
COG0461	1	1	0	1	1
COG0462	1	1	1	1	1
COG0464	1	1	0	1	0
COG0465	1	1	0	1	1
COG0466	1	1	0	1	1
COG0467	0	0	1	0	1
COG0468	1	1	0	1	1
COG0469	1	0	0	0	1
COG0470	1	0	0	0	1
COG0471	1	1	0	1	1
COG0472	1	1	0	1	1
COG0473	1	0	1	0	1
COG0474	1	1	0	1	1
COG0475	0	1	0	1	0
COG0476	1	1	0	1	1
COG0477	1	1	1	1	1
COG0479	1	1	1	1	1
COG0480	1	1	0	1	1
COG0481	1	1	0	1	1
COG0482	1	1	0	1	1
COG0483	1	1	0	1	1
COG0484	1	1	0	1	1
COG0486	1	1	0	1	1
COG0488	1	1	0	1	1
COG0489	1	1	0	1	1
COG0490	0	0	0	1	0
COG0491	1	1	1	1	1
COG0492	1	1	1	1	1
COG0494	1	1	0	1	1
COG0495	1	1	0	1	1
COG0496	1	0	1	0	1
COG0497	1	1	0	1	1
COG0498	1	0	0	0	1
COG0499	1	0	1	0	1
COG0500	1	1	0	1	1
COG0501	1	1	0	1	1
COG0502	1	0	0	0	0
COG0503	1	1	0	1	1
COG0504	1	1	0	1	1
COG0505	1	1	0	1	1
COG0506	0	1	0	1	0
COG0507	1	1	0	1	1
COG0508	1	1	0	1	1
COG0509	1	1	0	1	1
COG0510	0	1	0	1	1
COG0511	1	1	0	1	1
COG0512	1	1	0	1	1
COG0513	1	1	0	1	1
COG0514	1	1	0	1	1
COG0516	1	1	0	1	1
COG0517	1	0	0	0	0
COG0518	1	0	0	0	1
COG0519	1	1	0	1	1
COG0520	1	1	0	1	1
COG0521	1	0	0	1	1
COG0522	1	1	0	1	1
COG0523	1	1	0	1	1
COG0524	1	1	1	1	1
COG0525	1	1	0	1	1
COG0526	1	1	1	1	1
COG0527	1	1	1	1	1
COG0528	1	1	0	1	1
COG0529	1	0	0	0	0
COG0530	1	1	0	1	0
COG0531	0	1	1	1	1
COG0532	1	1	0	1	1
COG0533	1	1	0	1	1
COG0534	1	1	0	1	1
COG0535	1	1	0	1	1
COG0536	1	1	0	1	1
COG0537	1	1	0	1	1
COG0538	0	1	0	1	1
COG0539	1	1	0	1	1
COG0540	1	1	0	1	1
COG0541	1	1	0	1	1
COG0542	1	1	0	1	1
COG0543	1	1	0	1	0
COG0544	1	1	0	1	1
COG0545	1	0	0	0	0
COG0546	1	1	0	1	1
COG0547	1	1	0	1	1
COG0548	1	1	0	1	1
COG0549	0	1	0	1	1
COG0550	1	1	0	1	0
COG0551	1	1	0	1	0
COG0552	1	1	0	1	1
COG0553	1	0	0	0	0
COG0554	1	1	0	1	1
COG0555	1	0	0	0	1
COG0556	1	1	0	1	1
COG0557	1	1	0	1	1
COG0558	1	1	0	1	1
COG0559	1	0	0	0	1
COG0560	1	0	0	0	1
COG0561	0	1	0	1	1
COG0563	1	1	0	1	1
COG0564	1	1	0	1	1
COG0565	1	0	0	0	1
COG0566	1	1	0	1	1
COG0567	1	1	0	1	1
COG0568	1	1	0	1	1
COG0569	1	1	0	1	0
COG0571	1	1	0	1	1
COG0572	0	1	0	1	0
COG0573	0	1	0	1	1
COG0574	1	0	0	0	1
COG0575	1	1	0	1	1
COG0576	1	1	0	1	1
COG0577	0	0	0	1	1
COG0578	1	1	0	1	1
COG0579	1	1	1	1	1
COG0580	1	1	0	1	1
COG0581	0	1	0	1	1
COG0582	1	0	0	0	1
COG0584	1	1	0	1	1
COG0585	1	0	0	0	0
COG0586	1	1	0	1	1
COG0587	1	1	0	1	1
COG0588	0	0	0	0	1
COG0589	1	1	0	1	1
COG0590	1	1	0	1	1
COG0591	1	1	1	1	1
COG0592	1	1	0	1	1
COG0593	1	1	0	1	1
COG0594	1	1	0	1	1
COG0595	0	1	0	1	1
COG0597	1	1	0	1	1
COG0598	1	1	0	1	1
COG0599	1	0	1	0	1
COG0600	1	0	0	0	1
COG0601	1	1	1	1	1
COG0602	1	1	0	1	1
COG0603	1	1	0	1	1
COG0605	1	1	0	1	1
COG0606	1	0	0	0	1
COG0608	1	0	0	0	1
COG0609	1	1	0	1	1
COG0610	0	0	0	1	1
COG0611	1	0	0	0	0
COG0612	1	1	0	1	1
COG0613	1	0	0	0	0
COG0614	1	1	0	1	1
COG0616	1	0	0	0	1
COG0617	1	1	0	1	1
COG0618	0	1	0	1	0
COG0619	0	1	0	1	1
COG0620	1	0	0	0	0
COG0621	1	0	0	0	1
COG0622	1	1	0	1	1
COG0623	1	1	0	1	1
COG0624	1	1	0	1	1
COG0625	1	0	0	0	1
COG0626	1	1	1	1	1
COG0627	1	0	0	0	1
COG0628	1	1	1	1	1
COG0629	1	1	0	1	1
COG0630	0	0	0	0	1
COG0631	1	1	0	1	0
COG0632	1	1	0	1	1
COG0634	1	1	0	1	1
COG0635	1	1	0	1	1
COG0636	1	1	0	1	1
COG0637	1	1	0	1	1
COG0639	1	0	0	0	1
COG0640	1	1	0	1	1
COG0641	0	0	0	0	1
COG0643	1	1	0	1	1
COG0644	1	0	0	1	1
COG0645	1	1	1	1	1
COG0647	0	1	0	1	1
COG0648	0	1	0	1	0
COG0649	1	0	0	0	1
COG0651	1	1	0	1	1
COG0652	1	1	0	1	1
COG0653	1	1	0	1	1
COG0654	1	1	1	1	1
