ID	FragGeneScan_GIC31	FragGeneScan_DJ	FragGeneScan_RW1	FragGeneScan_Rleg	FragGeneScan_RW2
K00390	0.0	0.0	0.0	1.0	0.0
K00404	0.0	1.0	0.0	1.0	0.0
K00405	0.0	1.0	0.0	1.0	0.0
K00406	0.0	1.0	0.0	1.0	0.0
K00407	0.0	1.0	0.0	1.0	0.0
K00410	0.0	0.0	0.0	1.0	0.0
K00411	0.0	1.0	0.0	1.0	0.0
K00412	0.0	1.0	0.0	0.0	0.0
K00413	0.0	1.0	0.0	1.0	0.0
K00424	0.0	1.0	0.0	1.0	0.0
K00425	1.0	1.0	0.0	1.0	1.0
K00426	1.0	1.0	0.0	1.0	1.0
K00428	0.0	1.0	0.0	1.0	0.0
K00432	1.0	1.0	0.0	1.0	1.0
K00433	1.0	1.0	0.0	1.0	1.0
K00435	1.0	0.0	0.0	0.0	1.0
K00446	0.0	1.0	1.0	1.0	0.0
K00448	0.0	1.0	0.0	1.0	0.0
K00449	0.0	1.0	0.0	1.0	0.0
K00451	0.0	1.0	0.0	1.0	0.0
K00453	1.0	0.0	0.0	0.0	1.0
K00457	0.0	1.0	0.0	1.0	0.0
K00459	0.0	1.0	1.0	1.0	0.0
K00471	0.0	0.0	0.0	1.0	0.0
K00477	0.0	1.0	0.0	1.0	0.0
K00479	0.0	0.0	0.0	1.0	0.0
K00481	0.0	1.0	0.0	1.0	0.0
K00491	1.0	0.0	0.0	0.0	1.0
K00500	1.0	1.0	0.0	1.0	1.0
K00520	1.0	0.0	1.0	0.0	1.0
K00523	0.0	1.0	0.0	0.0	0.0
K00525	1.0	1.0	0.0	1.0	1.0
K00526	1.0	1.0	0.0	1.0	1.0
K00529	0.0	1.0	0.0	1.0	0.0
K00531	0.0	1.0	0.0	0.0	0.0
K00537	1.0	1.0	0.0	1.0	1.0
K00545	0.0	0.0	0.0	1.0	0.0
K00547	0.0	0.0	0.0	1.0	0.0
K00548	0.0	1.0	0.0	1.0	0.0
K00549	0.0	1.0	0.0	0.0	0.0
K00554	1.0	1.0	0.0	1.0	1.0
K00556	1.0	0.0	0.0	0.0	1.0
K00557	0.0	1.0	0.0	0.0	0.0
K00558	0.0	0.0	0.0	1.0	0.0
K00560	1.0	1.0	0.0	1.0	1.0
K00563	0.0	1.0	0.0	0.0	0.0
K00564	1.0	1.0	0.0	1.0	1.0
K00566	1.0	1.0	0.0	1.0	1.0
K00567	1.0	1.0	0.0	1.0	1.0
K00568	0.0	1.0	0.0	1.0	0.0
K00569	0.0	1.0	0.0	0.0	0.0
K00570	0.0	0.0	0.0	1.0	0.0
K00573	0.0	1.0	0.0	1.0	0.0
K00574	0.0	1.0	0.0	1.0	0.0
K00575	1.0	1.0	0.0	1.0	1.0
K00577	1.0	0.0	0.0	0.0	0.0
K00587	0.0	0.0	0.0	1.0	0.0
K00588	1.0	1.0	0.0	1.0	1.0
K00595	0.0	0.0	0.0	1.0	0.0
K00598	0.0	0.0	0.0	1.0	0.0
K00600	1.0	1.0	0.0	1.0	1.0
K00602	1.0	1.0	0.0	1.0	1.0
K00604	1.0	1.0	0.0	1.0	1.0
K00605	1.0	1.0	0.0	1.0	1.0
K00606	1.0	1.0	0.0	1.0	1.0
K00609	1.0	1.0	0.0	1.0	1.0
K00611	1.0	1.0	0.0	1.0	1.0
K00612	0.0	1.0	0.0	0.0	0.0
K00615	1.0	1.0	0.0	1.0	1.0
K00616	0.0	1.0	0.0	1.0	0.0
K00619	0.0	1.0	0.0	1.0	0.0
K00620	1.0	1.0	0.0	1.0	1.0
K00625	0.0	1.0	0.0	1.0	0.0
K00626	0.0	1.0	0.0	1.0	0.0
K00627	1.0	1.0	0.0	1.0	1.0
K00632	1.0	1.0	0.0	1.0	1.0
K00633	0.0	0.0	0.0	1.0	0.0
K00634	1.0	0.0	0.0	0.0	1.0
K00639	1.0	0.0	0.0	1.0	1.0
K00640	1.0	1.0	0.0	1.0	1.0
K00641	0.0	1.0	0.0	1.0	0.0
K00643	0.0	0.0	0.0	1.0	0.0
K00645	1.0	1.0	0.0	1.0	1.0
K00648	1.0	0.0	0.0	1.0	1.0
K00651	0.0	0.0	0.0	1.0	0.0
K00652	0.0	1.0	0.0	1.0	0.0
K00655	1.0	1.0	0.0	1.0	1.0
K00656	1.0	0.0	0.0	0.0	1.0
K00657	0.0	0.0	0.0	1.0	0.0
K00658	1.0	1.0	0.0	1.0	1.0
K00661	1.0	1.0	0.0	1.0	1.0
K00662	1.0	0.0	0.0	0.0	1.0
K00666	1.0	1.0	1.0	1.0	1.0
K00673	0.0	1.0	0.0	0.0	0.0
K00674	0.0	1.0	0.0	0.0	0.0
K00677	0.0	1.0	0.0	1.0	0.0
K00681	0.0	1.0	0.0	1.0	0.0
K00682	0.0	1.0	0.0	0.0	0.0
K00684	0.0	1.0	0.0	1.0	0.0
K00688	1.0	1.0	0.0	1.0	1.0
K00691	1.0	0.0	0.0	0.0	1.0
