ID	FragGeneScan_gsB_3841	FragGeneScan_GIC31_complete	FragGeneScan_gsE_BIHB1217	FragGeneScan_RW2_complete	FragGeneScan_gsC_SM41	FragGeneScan_S17	FragGeneScan_JQGI01_HUD	FragGeneScan_SH31	FragGeneScan_gsD_SM51	FragGeneScan_gsA_SM152B
K00605	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00609	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00611	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00615	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
K00616	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00619	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
K00620	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
K00625	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00626	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00632	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00634	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00639	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00640	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00641	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
K00643	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00651	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00656	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00657	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00658	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00677	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00681	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00688	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00689	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
K00691	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00694	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00697	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00700	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00703	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00705	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00721	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00748	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00750	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
K00756	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00758	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00759	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00760	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00761	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00762	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00764	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00765	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00766	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00769	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00789	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00790	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00794	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00797	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
K00799	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00800	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00812	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
K00813	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
K00817	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00819	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00820	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00821	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
K00822	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00824	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00826	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00830	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00831	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00832	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
K00845	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00847	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00849	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00850	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00853	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
K00854	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00857	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00865	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00873	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00874	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00875	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00876	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
K00880	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00883	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00887	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00891	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00892	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K00899	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00912	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00925	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00926	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00927	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00928	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00930	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
K00931	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00937	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00939	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00940	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00942	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00943	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00945	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00948	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00956	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00957	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00962	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00963	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K00971	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00974	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00975	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00978	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
K00979	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00998	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K01000	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01006	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01007	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K01011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01026	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K01040	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
K01046	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01048	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K01057	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01070	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01079	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K01087	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01089	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K01115	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
K01119	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
K01129	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01139	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01176	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K01178	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
K01181	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01182	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01184	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01185	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01186	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01190	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01191	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01192	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01193	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01198	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
K01200	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K01206	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01207	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01208	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K01209	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
K01214	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01217	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01218	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01222	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K01223	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K01226	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K01228	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01232	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
K01233	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
K01236	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01239	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01240	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K01241	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01243	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01247	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
K01251	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01259	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01270	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
K01286	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01424	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K01425	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
K01426	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01428	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01429	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01430	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01432	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01438	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01439	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K01443	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K01448	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
