ID	count
K01563	1
K01578	1
K01581	1
K01584	1
K01586	1
K01588	1
K01589	1
K01591	1
K01593	1
K01595	1
K01599	1
K01607	1
K01609	1
K01610	1
K01613	1
K01619	1
K01620	1
K01621	1
K01623	1
K01624	1
K01625	1
K01627	1
K01631	1
K01633	1
K01637	1
K01638	1
K01644	1
K01647	1
K01649	1
K01652	1
K01653	1
K01662	1
K01669	1
K01673	1
K01676	1
K01679	1
K01681	1
K01684	1
K01685	1
K01686	1
K01687	1
K01689	1
K01690	1
K01693	1
K01695	1
K01696	1
K01698	1
K01702	1
K01707	1
K01710	1
K01711	1
K01712	1
K01714	1
K01715	1
K01716	1
K01719	1
K01721	1
K01724	1
K01726	1
K01734	1
K01735	1
K01736	1
K01737	1
K01738	1
K01740	1
K01744	1
K01745	1
K01749	1
K01750	1
K01752	1
K01754	1
K01755	1
K01756	1
K01759	1
K01760	1
K01761	1
K01768	1
K01772	1
K01775	1
K01776	1
K01778	1
K01779	1
K01782	1
K01783	1
K01784	1
K01785	1
K01790	1
K01792	1
K01799	1
K01801	1
K01803	1
K01805	1
K01807	1
K01808	1
K01810	1
K01812	1
K01814	1
K01815	1
K01816	1
K01817	1
K01820	1
K01821	1
K01822	1
K01834	1
K01835	1
K01838	1
K01839	1
K01840	1
K01843	1
K01845	1
K01847	1
K01856	1
K01857	1
K01866	1
K01867	1
K01868	1
K01869	1
K01870	1
K01872	1
K01873	1
K01874	1
K01875	1
K01876	1
K01878	1
K01879	1
K01880	1
K01881	1
K01883	1
K01885	1
K01887	1
K01889	1
K01890	1
K01892	1
K01895	1
K01899	1
K01903	1
K01907	1
K01908	1
K01915	1
K01916	1
K01918	1
K01919	1
K01920	1
K01921	1
K01923	1
K01924	1
K01925	1
K01928	1
K01929	1
K01934	1
K01937	1
K01938	1
K01939	1
K01940	1
K01941	1
K01945	1
K01949	1
K01950	1
K01951	1
K01953	1
K01955	1
K01956	1
K01958	1
K01961	1
K01962	1
K01963	1
K01965	1
K01966	1
K01968	1
K01969	1
K01971	1
K01972	1
K01975	1
K01989	1
K01990	1
K01991	1
K01993	1
K01995	1
K01996	1
K01997	1
K01998	1
K01999	1
K02000	1
K02001	1
K02002	1
K02003	1
K02004	1
K02005	1
K02010	1
K02011	1
K02012	1
K02013	1
K02015	1
K02016	1
K02017	1
K02018	1
K02019	1
K02020	1
K02021	1
K02025	1
K02026	1
K02027	1
K02028	1
K02029	1
K02030	1
K02031	1
K02032	1
K02033	1
K02034	1
K02035	1
K02036	1
K02037	1
K02038	1
K02039	1
K02040	1
K02041	1
K02042	1
K02043	1
K02044	1
K02045	1
K02046	1
K02047	1
K02049	1
K02050	1
K02051	1
K02052	1
